ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist,Description
19368,AAS,3749,001,Seminar,"3","Lisa Shutt","Th 3:30PM - 6:00PM","New Cabell Hall 107","Food and Meaning in Africa and the Diaspora","",Open,0,18,0,"This course investigates the traditions and symbolics of food and eating in Africa and throughout the African Diaspora -- wherever people of African descent have migrated or have been forced to move. This course will help students to investigate the way the foods people eat' or don't eat' hold meaning for people within a variety of cultural contexts.Topics will include symbol, taboo, sexuality, bodies, ritual, kinship & beauty, among others."
19369,AAS,4501,001,Seminar,"4","Staff","Th 3:30PM - 6:00PM","New Cabell Hall 066","Advanced Research Seminar in History & AAS","Black Power",Open,0,12,0,"Reading, class discussion, and research on a special topic in African-American and African Studies culminating in the composition of a research paper. Topics change from term to term, and vary with the instructor. Primarily for fourth-year AAS and History students--double majors and others. Crosslisted with the History major seminar."
19370,AAS,4570,001,Seminar,"3","Talitha LeFlouria","Mo 3:30PM - 6:00PM","New Cabell Hall 107","Advanced Research Seminar in African-American & African Studies","",Open,0,12,0,"Reading, class discussion, and research on a special topic in African-American and African Studies culminating in the composition of a research paper. Topics change from term to term, and vary with the instructor. Primarily for fourth-year students but open to others."
12865,AAS,4993,001,Independent Study,"1 - 12","Maurice Apprey","TBA","TBA","Independent Study","",Open,0,2,0,"Allows students to work on an individual research project. Students must propose a topic to an appropriate faculty member, submit a written proposal for approval, prepare an extensive annotated bibliography on relevant readings comparable to the reading list of a regular upper-level course, and complete a research paper of at least 20 pages."
14781,AAS,4993,002,Independent Study,"1 - 12","Lisa Shutt","TBA","TBA","Independent Study","",Open,0,2,0,"Allows students to work on an individual research project. Students must propose a topic to an appropriate faculty member, submit a written proposal for approval, prepare an extensive annotated bibliography on relevant readings comparable to the reading list of a regular upper-level course, and complete a research paper of at least 20 pages."
15283,AAS,4993,003,Independent Study,"1 - 12","Claudrena Harold","TBA","TBA","Independent Study","",Open,0,2,0,"Allows students to work on an individual research project. Students must propose a topic to an appropriate faculty member, submit a written proposal for approval, prepare an extensive annotated bibliography on relevant readings comparable to the reading list of a regular upper-level course, and complete a research paper of at least 20 pages."
15906,AAS,4993,004,Independent Study,"1 - 12","Maurice Wallace","TBA","TBA","Independent Study","",Open,0,5,0,"Allows students to work on an individual research project. Students must propose a topic to an appropriate faculty member, submit a written proposal for approval, prepare an extensive annotated bibliography on relevant readings comparable to the reading list of a regular upper-level course, and complete a research paper of at least 20 pages."
15971,AAS,4993,005,Independent Study,"1 - 12","Anne Rotich","TBA","TBA","Independent Study","",Open,0,5,0,"Allows students to work on an individual research project. Students must propose a topic to an appropriate faculty member, submit a written proposal for approval, prepare an extensive annotated bibliography on relevant readings comparable to the reading list of a regular upper-level course, and complete a research paper of at least 20 pages."
18416,AIRS,100,001,Laboratory,"0","Colleen Delawder","Tu 3:30PM - 5:30PM","TBA","Leadership Laboratory","",Open,0,219,0,"A mandatory laboratory in leadership and followership development for AFROTC cadets. As a complement to the air science classes, this laboratory focuses on applying leadership principles and understanding leaders' responsibilities while emphasizing the benefits of practical experience. (2 hrs.)  Prerequisite: Enrollment in Air Force ROTC."
18411,AIRS,1100,001,Lecture,"1","Colleen Delawder","Tu 1:00PM - 1:50PM","TBA","The Foundations of the U.S. Air Force","",Open,0,50,0,"Introduces the United States Air Force and Air Force Reserve Officers' Training Corps. Topics include mission and organization of the Air Force, officership and professionalism, military customs and courtesies, Air Force officer career opportunities. Corequisite: AIRS 100. (2 hrs)"
18412,AIRS,1100,002,Lecture,"1","Colleen Delawder","Th 1:00PM - 1:50PM","Shannon House 107","The Foundations of the U.S. Air Force","",Open,0,20,0,"Introduces the United States Air Force and Air Force Reserve Officers' Training Corps. Topics include mission and organization of the Air Force, officership and professionalism, military customs and courtesies, Air Force officer career opportunities. Corequisite: AIRS 100. (2 hrs)"
18413,AIRS,2100,001,Lecture,"1","Colleen Delawder","Tu 2:00PM - 2:50PM","TBA","The Evolution of Air and Space Power","",Open,0,49,0,"Examines general aspects of air and space power through a historical perspective, from the first balloons and dirigibles through the Korean War. Presents historical examples of the development of Air Force capabilities and missions to demonstrate the evolution of what has become today's USAF air and space power. Investigates several fundamental truths associated with war in the third dimension (e.g., Principles of War and Tenets of Air and Space Power). Considers the general element and employment of air and space power from institutional, doctrinal, and historical perspectives. Discusses the importance of Air Force core values using operational examples and historical Air Force leaders. Continues to develop communication skills. Corequisite: AIRS 100. (2 hrs.)"
18414,AIRS,2100,002,Lecture,"1","Colleen Delawder","Th 2:00PM - 2:50PM","Shannon House 109","The Evolution of Air and Space Power","",Open,0,20,0,"Examines general aspects of air and space power through a historical perspective, from the first balloons and dirigibles through the Korean War. Presents historical examples of the development of Air Force capabilities and missions to demonstrate the evolution of what has become today's USAF air and space power. Investigates several fundamental truths associated with war in the third dimension (e.g., Principles of War and Tenets of Air and Space Power). Considers the general element and employment of air and space power from institutional, doctrinal, and historical perspectives. Discusses the importance of Air Force core values using operational examples and historical Air Force leaders. Continues to develop communication skills. Corequisite: AIRS 100. (2 hrs.)"
18418,AIRS,3100,001,Lecture,"3","Colleen Delawder","Tu 12:30PM - 1:45PM","TBA","Concepts of Air Force Leadership and Management","",Open,0,25,0,"Focuses on the study of leadership, management fundamentals, professional knowledge, and communication skills required of an Air Force junior officer. Case studies are used to examine Air Force leadership and management situations as a means of demonstrating and exercising practical application of the concepts being studied. Prerequisite: Officer Field Training attendance; corequisite: AIRS 100. (2 hrs.)"
18419,AIRS,3100,002,Lecture,"3","Colleen Delawder","Fr 12:30PM - 3:00PM","Astronomy Bldg 265","Concepts of Air Force Leadership and Management","",Open,0,25,0,"Focuses on the study of leadership, management fundamentals, professional knowledge, and communication skills required of an Air Force junior officer. Case studies are used to examine Air Force leadership and management situations as a means of demonstrating and exercising practical application of the concepts being studied. Prerequisite: Officer Field Training attendance; corequisite: AIRS 100. (2 hrs.)"
18415,AIRS,4100,001,Lecture,"3","Patrick Donley","Tu 12:30PM - 1:45PM","Shannon House 109","National Security Affairs/Preparation for Active Duty","",Open,0,20,0,"Examines the national security process, constitutional provisions, advanced leadership ethics, joint operations, and Air Force doctrine. Topics include the military as a profession, officership, civilian control of the military, and current issues affecting the military. Emphasizes refining communication skills through cadet briefings. Prerequisite: AIRS 3100 and/or 3200; corequisite: AIRS 100. (2 hrs.)"
10113,ALAR,7010,001,Studio,"6","Shiqiao Li","MoFr 1:00PM - 4:45PM","Campbell Hall 401","Research Studio 1","",Open,0,15,0,"Advanced vertical studio, exploring complex issues and sites, often through interdisciplinary design research. Prerequisite: ARCH 6020 or LAR 6020."
10114,ALAR,8010,001,Studio,"6","Shiqiao Li","MoFr 1:00PM - 4:45PM","Campbell Hall 401","Research Studio 2","",Open,0,10,0,"Advanced vertical studio, exploring complex issues and sites, often through interdisciplinary design research. Part one of a two part comprehensive design sequence. Prerequisite: ARCH 7020 or LAR 7020."
10129,ALAR,8010,002,Studio,"6","Peter Waldman","MoFr 1:00PM - 4:45PM","Campbell Hall 401","Research Studio 2","",Open,0,10,0,"Advanced vertical studio, exploring complex issues and sites, often through interdisciplinary design research. Part one of a two part comprehensive design sequence. Prerequisite: ARCH 7020 or LAR 7020."
10130,ALAR,8010,003,Studio,"6","Staff","MoFr 1:00PM - 4:45PM","Campbell Hall 401","Research Studio 2","",Open,0,10,0,"Advanced vertical studio, exploring complex issues and sites, often through interdisciplinary design research. Part one of a two part comprehensive design sequence. Prerequisite: ARCH 7020 or LAR 7020."
10131,ALAR,8010,004,Studio,"6","Margarita Jover Biboum","MoFr 1:00PM - 4:45PM","Campbell Hall 401","Research Studio 2","",Open,0,15,0,"Advanced vertical studio, exploring complex issues and sites, often through interdisciplinary design research. Part one of a two part comprehensive design sequence. Prerequisite: ARCH 7020 or LAR 7020."
10132,ALAR,8010,005,Studio,"6","Julie Bargmann","MoFr 1:00PM - 4:45PM","Campbell Hall 401","Research Studio 2","",Open,0,15,0,"Advanced vertical studio, exploring complex issues and sites, often through interdisciplinary design research. Part one of a two part comprehensive design sequence. Prerequisite: ARCH 7020 or LAR 7020."
10148,ALAR,8010,006,Studio,"6","Staff","MoFr 1:00PM - 4:45PM","Campbell Hall 105","Research Studio 2","",Open,0,15,0,"Advanced vertical studio, exploring complex issues and sites, often through interdisciplinary design research. Part one of a two part comprehensive design sequence. Prerequisite: ARCH 7020 or LAR 7020."
10207,ALAR,8010,007,Studio,"6","Ignacio Alday Sanz","MoFr 1:00PM - 4:45PM","Campbell Hall 401","Research Studio 2","",Open,0,5,0,"Advanced vertical studio, exploring complex issues and sites, often through interdisciplinary design research. Part one of a two part comprehensive design sequence. Prerequisite: ARCH 7020 or LAR 7020."
10220,ALAR,8010,008,Studio,"6","Staff","MoFr 1:00PM - 4:45PM","Campbell Hall 401","Research Studio 2","",Open,0,15,0,"Advanced vertical studio, exploring complex issues and sites, often through interdisciplinary design research. Part one of a two part comprehensive design sequence. Prerequisite: ARCH 7020 or LAR 7020."
10001,ALAR,8100,001,Seminar,"3","Matthew Jull","Tu 9:30AM - 12:00PM","Campbell Hall 302","Design Research: Methods and Strategies","",Open,0,30,0,"This course is for students in architecture/landscape undertaking an independent design/thesis studio in the spring semester, or students interested in strategic design thinking. Methods for initiating a thesis, research systems, documentation strategies, design experimentation, and modes of production and presentation will be covered. Collective critical discussion, analysis, and feedback as well as production of a final book will be required."
18804,ALAR,8100,002,Seminar,"3","Joerg Sieweke","Tu 9:30AM - 12:00PM","Campbell Hall 425","Design Research: Methods and Strategies","",Open,0,18,0,"This course is for students in architecture/landscape undertaking an independent design/thesis studio in the spring semester, or students interested in strategic design thinking. Methods for initiating a thesis, research systems, documentation strategies, design experimentation, and modes of production and presentation will be covered. Collective critical discussion, analysis, and feedback as well as production of a final book will be required."
10094,ALAR,8995,001,Studio,"6","Staff","MoFr 2:00PM - 5:45PM","Campbell Hall 401","Independent Design Research Studio","",Open,0,5,0,"Independent Design Research Studio. Prerequisite: ALAR 8100 and permission of the chair."
10193,ALAR,8999,001,Independent Study,"1 - 12","Anselmo Canfora","TBA","TBA","Non-Topical Design Research-Masters","",Open,0,4,0,"Independent Design Thesis Studio. Prerequisite: ALAR 8100 and permission of the chair."
19632,ALAR,8999,002,Independent Study,"1 - 12","Margarita Jover Biboum","TBA","TBA","Non-Topical Design Research-Masters","",Open,0,2,0,"Independent Design Thesis Studio. Prerequisite: ALAR 8100 and permission of the chair."
17440,AM,6020,001,Lecture,"3","Jason Kerrigan","MoWe 2:00PM - 3:15PM","Mechanical Engr Bldg 339","Continuum Mechanics With Applications","",Open,0,10,0,"Introduces continuum mechanics and mechanics of deformable solids. Vectors and cartesian tensors, stress, strain, deformation, equations of motion, constitutive laws, introduction to elasticity, thermal elasticity, viscoelasticity, plasticity, and fluids. Cross-listed as APMA 6020, MAE 6020; Taught concurrently with CE 6720. Prerequisite: Instructor permission."
19694,AMST,1559,001,Lecture,"3","Sylvia Chong","MoWe 3:30PM - 4:45PM","Rouss Hall 410","New Course in American Studies","",Open,0,45,0,"New Course in the subject of American Studies"
11569,AMST,2001,100,Lecture,"3","Grace Hale,Matthew Hedstrom","MoWe 1:00PM - 1:50PM","Minor Hall 125","Introduction to American Studies","",Open,0,120,0,"This course introduces students to American Studies, the interdisciplinary study of US culture. Students will be exposed to the three main categories of American Studies methods, historical analysis, close analysis, and fieldwork and to a broad variety of cultural forms, including films, photographs, music, sermons, journalism, fiction, speeches, court decisions, government documents, and web-based materials including social media sites."
13875,AMST,2001,101,Discussion,"3","Staff","Th 7:00PM - 7:50PM","New Cabell Hall 056","Introduction to American Studies","",Open,0,20,0,"This course introduces students to American Studies, the interdisciplinary study of US culture. Students will be exposed to the three main categories of American Studies methods, historical analysis, close analysis, and fieldwork and to a broad variety of cultural forms, including films, photographs, music, sermons, journalism, fiction, speeches, court decisions, government documents, and web-based materials including social media sites."
13876,AMST,2001,102,Discussion,"3","Staff","We 5:00PM - 5:50PM","New Cabell Hall 207","Introduction to American Studies","",Open,0,20,0,"This course introduces students to American Studies, the interdisciplinary study of US culture. Students will be exposed to the three main categories of American Studies methods, historical analysis, close analysis, and fieldwork and to a broad variety of cultural forms, including films, photographs, music, sermons, journalism, fiction, speeches, court decisions, government documents, and web-based materials including social media sites."
13877,AMST,2001,103,Discussion,"3","Staff","We 6:00PM - 6:50PM","Bryan Hall 328","Introduction to American Studies","",Open,0,20,0,"This course introduces students to American Studies, the interdisciplinary study of US culture. Students will be exposed to the three main categories of American Studies methods, historical analysis, close analysis, and fieldwork and to a broad variety of cultural forms, including films, photographs, music, sermons, journalism, fiction, speeches, court decisions, government documents, and web-based materials including social media sites."
15278,AMST,2001,104,Discussion,"3","Staff","Tu 7:00PM - 7:50PM","Bryan Hall 328","Introduction to American Studies","",Open,0,20,0,"This course introduces students to American Studies, the interdisciplinary study of US culture. Students will be exposed to the three main categories of American Studies methods, historical analysis, close analysis, and fieldwork and to a broad variety of cultural forms, including films, photographs, music, sermons, journalism, fiction, speeches, court decisions, government documents, and web-based materials including social media sites."
15279,AMST,2001,105,Discussion,"3","Staff","Mo 5:00PM - 5:50PM","Bryan Hall 235","Introduction to American Studies","",Open,0,20,0,"This course introduces students to American Studies, the interdisciplinary study of US culture. Students will be exposed to the three main categories of American Studies methods, historical analysis, close analysis, and fieldwork and to a broad variety of cultural forms, including films, photographs, music, sermons, journalism, fiction, speeches, court decisions, government documents, and web-based materials including social media sites."
15280,AMST,2001,106,Discussion,"3","Staff","Mo 6:00PM - 6:50PM","Bryan Hall 328","Introduction to American Studies","",Open,0,20,0,"This course introduces students to American Studies, the interdisciplinary study of US culture. Students will be exposed to the three main categories of American Studies methods, historical analysis, close analysis, and fieldwork and to a broad variety of cultural forms, including films, photographs, music, sermons, journalism, fiction, speeches, court decisions, government documents, and web-based materials including social media sites."
19422,AMST,2422,001,Seminar,"3","Lisa Goff","TuTh 5:00PM - 6:15PM","Maury Hall 110","Point of View Journalism","",Open,0,15,0,"This course analyzes 'point-of-view' journalism as a controversial but credible alternative to the dominant model of ''objectivity' in the U.S. news media. It will survey point-of-view journalists from Benjamin Franklin to the modern blog."
15028,AMST,2462,001,Lecture,"3","Ashley Williams","TuTh 9:30AM - 10:45AM","New Cabell Hall 191","Language & New Media","",Open,0,25,0,"This course investigates the interactional relationship between language and American society with a focus on New Media contexts. More specifically, it considers how language both shapes and is shaped by society in email, texting, Facebook, blogging, online gaming, YouTube, and more. Through an interdisciplinary approach, students examine how social constructions are created by, and are realized in New Media genres."
19136,AMST,2500,001,Lecture,"3","Jack Hamilton","MoWe 3:30PM - 4:45PM","Dell 1 105","Major Works for American Studies","Cultures of Hip-Hop",Open,0,60,0,"Topics vary according to instructor. The goal of the course is to introduce students to interdisciplinary work in American Studies by juxtaposing works across disciplinary boundaries and from different methodological perspectives."
18948,AMST,2559,001,Lecture,"3","Staff","TuTh 11:00AM - 12:15PM","Bryan Hall 235","New Course in American Studies","",Open,0,30,0,"New Course in subject of American Studies."
14120,AMST,3001,001,Seminar,"3","Sandhya Shukla","TuTh 12:30PM - 1:45PM","Bryan Hall 334","Theories and Methods of American Studies","",Open,0,15,0,"This seminar course will introduce majors to various theories and methods for the practice of American Studies. The three goals of the seminars are (1) to make students aware of their own interpretive practices; (2) to equip them with information and conceptual tools they will need for advanced work in American Studies; and (3) to provide them with comparative approaches to the study of various aspects of the United States. Prerequisites: American Studies Major"
19542,AMST,3001,002,Seminar,"3","Anna Brickhouse","TuTh 9:30AM - 10:45AM","Nau Hall 241","Theories and Methods of American Studies","",Open,0,15,0,"This seminar course will introduce majors to various theories and methods for the practice of American Studies. The three goals of the seminars are (1) to make students aware of their own interpretive practices; (2) to equip them with information and conceptual tools they will need for advanced work in American Studies; and (3) to provide them with comparative approaches to the study of various aspects of the United States. Prerequisites: American Studies Major"
18956,AMST,3559,001,Lecture,"3","Jessica Sewell","TuTh 2:00PM - 3:15PM","Ruffner Hall 139","New Course in American Studies","Gender, Things, and Difference",Open,0,25,0,"New Course in the subject of American Studies"
18957,AMST,3559,002,Lecture,"3","John Hamilton","MoWe 2:00PM - 3:15PM","New Cabell Hall 107","New Course in American Studies","Hip-Hop As Technology",Open,0,10,0,"New Course in the subject of American Studies"
18958,AMST,4430,001,Seminar,"3","Grace Hale","Mo 3:30PM - 6:00PM","New Cabell Hall 066","Documentary Film and the South","",Open,0,15,0,"This course explores how documentary filmmakers have represented the US South from the 1930s through the end of the twentieth century and the place of films made in and about the region in the history of documentary film. Students will conduct original research, shape their findings into paper, and make their own documentary short about a topic of their choosing."
15031,AMST,4500,001,Seminar,"3","Jennifer Greeson","TuTh 9:30AM - 10:45AM","Contact Department","Fourth-Year Seminar in American Studies","Autobiography and Nationalism",Open,0,10,0,"This seminar is intended to focus study, research, and discussion on a single period, topic, or issue, such as the Great Awakening, the Civil War, the Harlem Renaissance, the Great Depression, or the 1960s. Topics vary."
19489,AMST,4500,002,Seminar,"3","Jessica Sewell","MoWe 2:00PM - 3:15PM","New Cabell Hall 594","Fourth-Year Seminar in American Studies","Resource and Real Estate",Open,0,15,0,"This seminar is intended to focus study, research, and discussion on a single period, topic, or issue, such as the Great Awakening, the Civil War, the Harlem Renaissance, the Great Depression, or the 1960s. Topics vary."
20046,AMST,4500,003,Seminar,"3","Kenrick Grandison,Marlon Ross","Tu 6:30PM - 9:00PM","Bryan Hall 312","Fourth-Year Seminar in American Studies","Race, Space, and Culture",Open,0,6,0,"This seminar is intended to focus study, research, and discussion on a single period, topic, or issue, such as the Great Awakening, the Civil War, the Harlem Renaissance, the Great Depression, or the 1960s. Topics vary."
20047,AMST,4500,004,Seminar,"3","Marlon Ross","TuTh 11:00AM - 12:15PM","Bryan Hall 332","Fourth-Year Seminar in American Studies","W. E. B. Du Bois",Open,0,6,0,"This seminar is intended to focus study, research, and discussion on a single period, topic, or issue, such as the Great Awakening, the Civil War, the Harlem Renaissance, the Great Depression, or the 1960s. Topics vary."
11610,AMST,4893,001,Independent Study,"3","Sylvia Chong","TBA","TBA","Independent Study in Asian Pacific American Studies","",Open,0,15,0,"An elective course for students in the Asian Pacific American Studies minor. Students will work with an APAS core faculty member to support the student's own research. Topics vary, and must be approved by the APAS Director. "
10291,AMST,4993,001,Independent Study,"3","Anna Brickhouse","TBA","TBA","Independent Study","",Open,0,20,0,"An elective course for American Studies majors who have completed AMST 3001-3002. Students will work with an American Studies faculty member to support the student's own research. Topics vary, and must be approved by the Program Director. Prerequisite: AMST 3001, 3002."
15032,AMST,4993,002,Independent Study,"3","Sylvia Chong","TBA","TBA","Independent Study","",Open,0,10,0,"An elective course for American Studies majors who have completed AMST 3001-3002. Students will work with an American Studies faculty member to support the student's own research. Topics vary, and must be approved by the Program Director. Prerequisite: AMST 3001, 3002."
15034,AMST,4993,004,Independent Study,"3","John Hamilton","TBA","TBA","Independent Study","",Open,0,10,0,"An elective course for American Studies majors who have completed AMST 3001-3002. Students will work with an American Studies faculty member to support the student's own research. Topics vary, and must be approved by the Program Director. Prerequisite: AMST 3001, 3002."
15035,AMST,4993,005,Independent Study,"3","Grace Hale","TBA","TBA","Independent Study","",Open,0,10,0,"An elective course for American Studies majors who have completed AMST 3001-3002. Students will work with an American Studies faculty member to support the student's own research. Topics vary, and must be approved by the Program Director. Prerequisite: AMST 3001, 3002."
15036,AMST,4993,006,Independent Study,"3","Matthew Hedstrom","TBA","TBA","Independent Study","",Open,0,10,0,"An elective course for American Studies majors who have completed AMST 3001-3002. Students will work with an American Studies faculty member to support the student's own research. Topics vary, and must be approved by the Program Director. Prerequisite: AMST 3001, 3002."
15037,AMST,4993,007,Independent Study,"3","Carmenita Higginbotham","TBA","TBA","Independent Study","",Open,0,10,0,"An elective course for American Studies majors who have completed AMST 3001-3002. Students will work with an American Studies faculty member to support the student's own research. Topics vary, and must be approved by the Program Director. Prerequisite: AMST 3001, 3002."
15038,AMST,4993,008,Independent Study,"3","Lisa Goff","TBA","TBA","Independent Study","",Open,0,10,0,"An elective course for American Studies majors who have completed AMST 3001-3002. Students will work with an American Studies faculty member to support the student's own research. Topics vary, and must be approved by the Program Director. Prerequisite: AMST 3001, 3002."
15039,AMST,4993,009,Independent Study,"3","Sandhya Shukla","TBA","TBA","Independent Study","",Open,0,10,0,"An elective course for American Studies majors who have completed AMST 3001-3002. Students will work with an American Studies faculty member to support the student's own research. Topics vary, and must be approved by the Program Director. Prerequisite: AMST 3001, 3002."
10292,ANTH,1010,100,Lecture,"3","James Igoe","TuTh 8:00AM - 8:50AM","Clark Hall 107","Introduction to Anthropology","",Open,0,60,0,"This is a broad introductory course covering race, language, and culture, both as intellectual concepts and as political realities. Topics include race and culture as explanations of human affairs, the relationship of language to thought, cultural diversity and cultural relativity, and cultural approaches to current crises."
13842,ANTH,1010,101,Discussion,"3","Staff","Th 4:00PM - 4:50PM","New Cabell Hall 415","Introduction to Anthropology","",Open,0,20,0,"This is a broad introductory course covering race, language, and culture, both as intellectual concepts and as political realities. Topics include race and culture as explanations of human affairs, the relationship of language to thought, cultural diversity and cultural relativity, and cultural approaches to current crises."
13843,ANTH,1010,102,Discussion,"3","Staff","Th 5:00PM - 5:50PM","New Cabell Hall 411","Introduction to Anthropology","",Open,0,20,0,"This is a broad introductory course covering race, language, and culture, both as intellectual concepts and as political realities. Topics include race and culture as explanations of human affairs, the relationship of language to thought, cultural diversity and cultural relativity, and cultural approaches to current crises."
13844,ANTH,1010,103,Discussion,"3","Staff","Th 2:00PM - 2:50PM","New Cabell Hall 303","Introduction to Anthropology","",Open,0,20,0,"This is a broad introductory course covering race, language, and culture, both as intellectual concepts and as political realities. Topics include race and culture as explanations of human affairs, the relationship of language to thought, cultural diversity and cultural relativity, and cultural approaches to current crises."
13845,ANTH,1010,104,Discussion,"3","Staff","Th 9:30AM - 10:20AM","Fayerweather Hall 206","Introduction to Anthropology","",Open,0,20,0,"This is a broad introductory course covering race, language, and culture, both as intellectual concepts and as political realities. Topics include race and culture as explanations of human affairs, the relationship of language to thought, cultural diversity and cultural relativity, and cultural approaches to current crises."
13846,ANTH,1010,105,Discussion,"3","Staff","We 5:00PM - 5:50PM","Brooks Hall 103","Introduction to Anthropology","",Open,0,20,0,"This is a broad introductory course covering race, language, and culture, both as intellectual concepts and as political realities. Topics include race and culture as explanations of human affairs, the relationship of language to thought, cultural diversity and cultural relativity, and cultural approaches to current crises."
13847,ANTH,1010,106,Discussion,"3","Staff","Fr 9:00AM - 9:50AM","New Cabell Hall 485","Introduction to Anthropology","",Open,0,20,0,"This is a broad introductory course covering race, language, and culture, both as intellectual concepts and as political realities. Topics include race and culture as explanations of human affairs, the relationship of language to thought, cultural diversity and cultural relativity, and cultural approaches to current crises."
